"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2349","Update a user test","chromium","2026-09-05","passed","2026-09-05","","api/users.api.spec.ts","",""
"","3138","successful login test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpage.spec.ts","",""
"","3334","@smoke home page title test","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","0","PUT Request - 1","chromium","2026-09-05","skipped","2026-09-05","","api/user.api.final.spec.ts","",""
"","385","GET Users","chromium","2026-09-05","passed","2026-09-05","","api/users.api.spec.ts","",""
"","2800","@regression CSV Invalid login test with data driven test12312@abc.com","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","8726","@smoke @regression verify search with product - airtel - null","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","3298","@smoke Is Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","3229","@smoke home page title test","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","0","DELETE Request - 1","chromium","2026-09-05","skipped","2026-09-05","","api/user.api.final.spec.ts","",""
"","8654","@smoke @regression verify search with product - imac - iMac","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","3300","@smoke successful login test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","382","POST Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","3360","@regression Home Page HeadersIs Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","243","@regression Mock search data api","chromium","2026-09-05","passed","2026-09-05","","api/interception.spec.ts","",""
"","1","POST Request - 1","chromium","2026-09-05","skipped","2026-09-05","","api/user.api.final.spec.ts","",""
"","3354","@smoke Home Page HeadersIs Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","4472","@smoke @regression verify product results - iMac","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","4640","@smoke @regression verify product results - MacBook Pro","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","2264","@smoke login page title test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","4513","@smoke @regression verify product results - MacBook Air","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","367","PUT Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","8799","@smoke @regression verify search with product - macbook - MacBook Air","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","9737","@regression verify product images data","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","2907","@regression JSON Invalid login test with data driven aing@test.com","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
